,title,description,read-time,author-name,designation,blog-image
299,EU-Startups Summit,,4 minutes,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/02/self-managing-teams-_feature-5-706x536.jpg
300,Scaling Startups In The Cloud: Ways To Make That Journey,"There’s no question that IT infrastructure is heading in one direction: towards the Cloud. For established, legacy businesses who are at the beginning of their digital transformation journey, moving to…",4 minutes,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/02/self-managing-teams-_feature-5-706x536.jpg
301,SaaStr Europa,,4 minutes,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/02/self-managing-teams-_feature-5-706x536.jpg
302,All Onboard: Overcoming the challenges of project ownership with managed teams,"Whatever sort of software you’re developing, when you look to a solution like a ‘development team as a service’ to scale and expedite your coding, you might be forgiven for…",4 minutes,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/02/self-managing-teams-_feature-5-706x536.jpg
303,Proshore Bootcamp: A free program for early-stage IT professionals in Nepal,Proshore Bootcamp was born out of love for two things: IT and Nepal. As part of Proshore’s social mission to create better job opportunities for aspiring IT professionals working in…,4 minutes,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/02/self-managing-teams-_feature-5-706x536.jpg
304,From micromanaging to self-managing remote software development,"How does remote software development really work? If your business is thinking about investing in software development beyond your existing in-house capacity, then reliability, expertise, and team integration are key…",4 minutes,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/02/self-managing-teams-_feature-5-706x536.jpg
305,Digital Product Labs: How Proshore helped sync listings & orders across Etsy & Shopify,"If you’re a manufacturer or retailer with products appearing on a single retail site, then updating your product feeds is a straightforward task. But what if your products appear on multiple merchant sites?...",4 minutes,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/02/self-managing-teams-_feature-5-706x536.jpg
306,Micro-SaaS: what it is and why it matters,"Sometimes when a problem is so small, it can seem like no-one else shares it. When that problem relates to software as a service (SaaS), which already addresses particular pain…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
307,How to scale microservices without using Kubernetes,"The great thing about microservices is that if one of your software services fails, the rest of the system stays online. For global streaming giants and hyperscalers with teams of…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
308,Driving eCommerce excellence through innovative software development,"When it comes to software development, sometimes a challenge can’t be solved by an out-of-the-box solution. Instead, it requires thinking outside the box. That’s exactly what was required when Proshore…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
309,,,readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
310,,,readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
311,,,readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
312,The challenges and solutions of scaling software development for startups,"When you’re running a successful software startup, the time will come when you need to scale your team. You might have started out as a one or two-person outfit, but…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
313,How It Works: Teams As A Service,"When you’re scaling a software company, it can be a challenge to meet growing customer expectations and deliver shippable code. One moment you’re starting out as an entrepreneur with a…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
314,Nepal: A serious contender in software development outsourcing,"Say the words ‘outsourcing destination’ to people in the software industry, and they’ll probably reply with the name of one of the major players – like Bangladesh or India. Sure,…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
315,KSS: How to use Blackfire to monitor the performance of PHP application,"As a PHP developer, ‘Blackfire’ might be a name you have come across before or maybe not even heard of. For our resident PHP expert, Angel Maharjan, it was a…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
316,7 common mistakes in IT outsourcing – and tips to avoid making them,"As more and more companies seek to reduce operational costs in areas such as managing enterprise applications and software development, the IT outsourcing sector is experiencing a period of sustained…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
317,EU-Startups Summit,,readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
318,Scaling Startups In The Cloud: Ways To Make That Journey,"There’s no question that IT infrastructure is heading in one direction: towards the Cloud. For established, legacy businesses who are at the beginning of their digital transformation journey, moving to…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
319,SaaStr Europa,,readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
320,All Onboard: Overcoming the challenges of project ownership with managed teams,"Whatever sort of software you’re developing, when you look to a solution like a ‘development team as a service’ to scale and expedite your coding, you might be forgiven for…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
321,Proshore Bootcamp: A free program for early-stage IT professionals in Nepal,Proshore Bootcamp was born out of love for two things: IT and Nepal. As part of Proshore’s social mission to create better job opportunities for aspiring IT professionals working in…,readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
322,From micromanaging to self-managing remote software development,"How does remote software development really work? If your business is thinking about investing in software development beyond your existing in-house capacity, then reliability, expertise, and team integration are key…",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
323,Digital Product Labs: How Proshore helped sync listings & orders across Etsy & Shopify,"If you’re a manufacturer or retailer with products appearing on a single retail site, then updating your product feeds is a straightforward task. But what if your products appear on multiple merchant sites?...",readtime,Sumit Shrestha,Digital Marketer,https://proshore.eu/wp-content/uploads/2022/01/exportfeed-_case-study-1-706x536.jpg
324,Micro-SaaS: what it is and why it matters,"Sometimes when a problem is so small, it can seem like no-one else shares it. When that problem relates to software as a service (SaaS), which already addresses particular pain…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
325,How to scale microservices without using Kubernetes,"The great thing about microservices is that if one of your software services fails, the rest of the system stays online. For global streaming giants and hyperscalers with teams of…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
326,Driving eCommerce excellence through innovative software development,"When it comes to software development, sometimes a challenge can’t be solved by an out-of-the-box solution. Instead, it requires thinking outside the box. That’s exactly what was required when Proshore…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
327,,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
328,,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
329,,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
330,The challenges and solutions of scaling software development for startups,"When you’re running a successful software startup, the time will come when you need to scale your team. You might have started out as a one or two-person outfit, but…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
331,How It Works: Teams As A Service,"When you’re scaling a software company, it can be a challenge to meet growing customer expectations and deliver shippable code. One moment you’re starting out as an entrepreneur with a…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
332,Nepal: A serious contender in software development outsourcing,"Say the words ‘outsourcing destination’ to people in the software industry, and they’ll probably reply with the name of one of the major players – like Bangladesh or India. Sure,…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
333,KSS: How to use Blackfire to monitor the performance of PHP application,"As a PHP developer, ‘Blackfire’ might be a name you have come across before or maybe not even heard of. For our resident PHP expert, Angel Maharjan, it was a…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
334,7 common mistakes in IT outsourcing – and tips to avoid making them,"As more and more companies seek to reduce operational costs in areas such as managing enterprise applications and software development, the IT outsourcing sector is experiencing a period of sustained…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
335,EU-Startups Summit,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
336,Scaling Startups In The Cloud: Ways To Make That Journey,"There’s no question that IT infrastructure is heading in one direction: towards the Cloud. For established, legacy businesses who are at the beginning of their digital transformation journey, moving to…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
337,SaaStr Europa,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
338,All Onboard: Overcoming the challenges of project ownership with managed teams,"Whatever sort of software you’re developing, when you look to a solution like a ‘development team as a service’ to scale and expedite your coding, you might be forgiven for…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
339,Proshore Bootcamp: A free program for early-stage IT professionals in Nepal,Proshore Bootcamp was born out of love for two things: IT and Nepal. As part of Proshore’s social mission to create better job opportunities for aspiring IT professionals working in…,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
340,From micromanaging to self-managing remote software development,"How does remote software development really work? If your business is thinking about investing in software development beyond your existing in-house capacity, then reliability, expertise, and team integration are key…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
341,Digital Product Labs: How Proshore helped sync listings & orders across Etsy & Shopify,"If you’re a manufacturer or retailer with products appearing on a single retail site, then updating your product feeds is a straightforward task. But what if your products appear on multiple merchant sites?...",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/blog-image-_culture-club4-706x536.jpg
342,Micro-SaaS: what it is and why it matters,"Sometimes when a problem is so small, it can seem like no-one else shares it. When that problem relates to software as a service (SaaS), which already addresses particular pain…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
343,How to scale microservices without using Kubernetes,"The great thing about microservices is that if one of your software services fails, the rest of the system stays online. For global streaming giants and hyperscalers with teams of…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
344,Driving eCommerce excellence through innovative software development,"When it comes to software development, sometimes a challenge can’t be solved by an out-of-the-box solution. Instead, it requires thinking outside the box. That’s exactly what was required when Proshore…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
345,,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
346,,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
347,,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
348,The challenges and solutions of scaling software development for startups,"When you’re running a successful software startup, the time will come when you need to scale your team. You might have started out as a one or two-person outfit, but…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
349,How It Works: Teams As A Service,"When you’re scaling a software company, it can be a challenge to meet growing customer expectations and deliver shippable code. One moment you’re starting out as an entrepreneur with a…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
350,Nepal: A serious contender in software development outsourcing,"Say the words ‘outsourcing destination’ to people in the software industry, and they’ll probably reply with the name of one of the major players – like Bangladesh or India. Sure,…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
351,KSS: How to use Blackfire to monitor the performance of PHP application,"As a PHP developer, ‘Blackfire’ might be a name you have come across before or maybe not even heard of. For our resident PHP expert, Angel Maharjan, it was a…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
352,7 common mistakes in IT outsourcing – and tips to avoid making them,"As more and more companies seek to reduce operational costs in areas such as managing enterprise applications and software development, the IT outsourcing sector is experiencing a period of sustained…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
353,EU-Startups Summit,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
354,Scaling Startups In The Cloud: Ways To Make That Journey,"There’s no question that IT infrastructure is heading in one direction: towards the Cloud. For established, legacy businesses who are at the beginning of their digital transformation journey, moving to…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
355,SaaStr Europa,,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
356,All Onboard: Overcoming the challenges of project ownership with managed teams,"Whatever sort of software you’re developing, when you look to a solution like a ‘development team as a service’ to scale and expedite your coding, you might be forgiven for…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
357,Proshore Bootcamp: A free program for early-stage IT professionals in Nepal,Proshore Bootcamp was born out of love for two things: IT and Nepal. As part of Proshore’s social mission to create better job opportunities for aspiring IT professionals working in…,readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
358,From micromanaging to self-managing remote software development,"How does remote software development really work? If your business is thinking about investing in software development beyond your existing in-house capacity, then reliability, expertise, and team integration are key…",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
359,Digital Product Labs: How Proshore helped sync listings & orders across Etsy & Shopify,"If you’re a manufacturer or retailer with products appearing on a single retail site, then updating your product feeds is a straightforward task. But what if your products appear on multiple merchant sites?...",readtime,Babish Shrestha,Director of Technology,https://proshore.eu/wp-content/uploads/2021/12/origins-roshan-haico-scaled-706x536.jpg
360,Micro-SaaS: what it is and why it matters,"Sometimes when a problem is so small, it can seem like no-one else shares it. When that problem relates to software as a service (SaaS), which already addresses particular pain…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
361,How to scale microservices without using Kubernetes,"The great thing about microservices is that if one of your software services fails, the rest of the system stays online. For global streaming giants and hyperscalers with teams of…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
362,Driving eCommerce excellence through innovative software development,"When it comes to software development, sometimes a challenge can’t be solved by an out-of-the-box solution. Instead, it requires thinking outside the box. That’s exactly what was required when Proshore…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
363,,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
364,,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
365,,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
366,The challenges and solutions of scaling software development for startups,"When you’re running a successful software startup, the time will come when you need to scale your team. You might have started out as a one or two-person outfit, but…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
367,How It Works: Teams As A Service,"When you’re scaling a software company, it can be a challenge to meet growing customer expectations and deliver shippable code. One moment you’re starting out as an entrepreneur with a…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
368,Nepal: A serious contender in software development outsourcing,"Say the words ‘outsourcing destination’ to people in the software industry, and they’ll probably reply with the name of one of the major players – like Bangladesh or India. Sure,…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
369,KSS: How to use Blackfire to monitor the performance of PHP application,"As a PHP developer, ‘Blackfire’ might be a name you have come across before or maybe not even heard of. For our resident PHP expert, Angel Maharjan, it was a…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
370,7 common mistakes in IT outsourcing – and tips to avoid making them,"As more and more companies seek to reduce operational costs in areas such as managing enterprise applications and software development, the IT outsourcing sector is experiencing a period of sustained…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
371,EU-Startups Summit,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
372,Scaling Startups In The Cloud: Ways To Make That Journey,"There’s no question that IT infrastructure is heading in one direction: towards the Cloud. For established, legacy businesses who are at the beginning of their digital transformation journey, moving to…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
373,SaaStr Europa,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
374,All Onboard: Overcoming the challenges of project ownership with managed teams,"Whatever sort of software you’re developing, when you look to a solution like a ‘development team as a service’ to scale and expedite your coding, you might be forgiven for…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
375,Proshore Bootcamp: A free program for early-stage IT professionals in Nepal,Proshore Bootcamp was born out of love for two things: IT and Nepal. As part of Proshore’s social mission to create better job opportunities for aspiring IT professionals working in…,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
376,From micromanaging to self-managing remote software development,"How does remote software development really work? If your business is thinking about investing in software development beyond your existing in-house capacity, then reliability, expertise, and team integration are key…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
377,Digital Product Labs: How Proshore helped sync listings & orders across Etsy & Shopify,"If you’re a manufacturer or retailer with products appearing on a single retail site, then updating your product feeds is a straightforward task. But what if your products appear on multiple merchant sites?...",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/automation-blog-banner-copy-706x536.png
378,Micro-SaaS: what it is and why it matters,"Sometimes when a problem is so small, it can seem like no-one else shares it. When that problem relates to software as a service (SaaS), which already addresses particular pain…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
379,How to scale microservices without using Kubernetes,"The great thing about microservices is that if one of your software services fails, the rest of the system stays online. For global streaming giants and hyperscalers with teams of…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
380,Driving eCommerce excellence through innovative software development,"When it comes to software development, sometimes a challenge can’t be solved by an out-of-the-box solution. Instead, it requires thinking outside the box. That’s exactly what was required when Proshore…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
381,,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
382,,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
383,,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
384,The challenges and solutions of scaling software development for startups,"When you’re running a successful software startup, the time will come when you need to scale your team. You might have started out as a one or two-person outfit, but…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
385,How It Works: Teams As A Service,"When you’re scaling a software company, it can be a challenge to meet growing customer expectations and deliver shippable code. One moment you’re starting out as an entrepreneur with a…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
386,Nepal: A serious contender in software development outsourcing,"Say the words ‘outsourcing destination’ to people in the software industry, and they’ll probably reply with the name of one of the major players – like Bangladesh or India. Sure,…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
387,KSS: How to use Blackfire to monitor the performance of PHP application,"As a PHP developer, ‘Blackfire’ might be a name you have come across before or maybe not even heard of. For our resident PHP expert, Angel Maharjan, it was a…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
388,7 common mistakes in IT outsourcing – and tips to avoid making them,"As more and more companies seek to reduce operational costs in areas such as managing enterprise applications and software development, the IT outsourcing sector is experiencing a period of sustained…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
389,EU-Startups Summit,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
390,Scaling Startups In The Cloud: Ways To Make That Journey,"There’s no question that IT infrastructure is heading in one direction: towards the Cloud. For established, legacy businesses who are at the beginning of their digital transformation journey, moving to…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
391,SaaStr Europa,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
392,All Onboard: Overcoming the challenges of project ownership with managed teams,"Whatever sort of software you’re developing, when you look to a solution like a ‘development team as a service’ to scale and expedite your coding, you might be forgiven for…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
393,Proshore Bootcamp: A free program for early-stage IT professionals in Nepal,Proshore Bootcamp was born out of love for two things: IT and Nepal. As part of Proshore’s social mission to create better job opportunities for aspiring IT professionals working in…,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
394,From micromanaging to self-managing remote software development,"How does remote software development really work? If your business is thinking about investing in software development beyond your existing in-house capacity, then reliability, expertise, and team integration are key…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
395,Digital Product Labs: How Proshore helped sync listings & orders across Etsy & Shopify,"If you’re a manufacturer or retailer with products appearing on a single retail site, then updating your product feeds is a straightforward task. But what if your products appear on multiple merchant sites?...",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/11/micro3-706x536.png
396,Micro-SaaS: what it is and why it matters,"Sometimes when a problem is so small, it can seem like no-one else shares it. When that problem relates to software as a service (SaaS), which already addresses particular pain…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
397,How to scale microservices without using Kubernetes,"The great thing about microservices is that if one of your software services fails, the rest of the system stays online. For global streaming giants and hyperscalers with teams of…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
398,Driving eCommerce excellence through innovative software development,"When it comes to software development, sometimes a challenge can’t be solved by an out-of-the-box solution. Instead, it requires thinking outside the box. That’s exactly what was required when Proshore…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
399,,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
400,,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
401,,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
402,The challenges and solutions of scaling software development for startups,"When you’re running a successful software startup, the time will come when you need to scale your team. You might have started out as a one or two-person outfit, but…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
403,How It Works: Teams As A Service,"When you’re scaling a software company, it can be a challenge to meet growing customer expectations and deliver shippable code. One moment you’re starting out as an entrepreneur with a…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
404,Nepal: A serious contender in software development outsourcing,"Say the words ‘outsourcing destination’ to people in the software industry, and they’ll probably reply with the name of one of the major players – like Bangladesh or India. Sure,…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
405,KSS: How to use Blackfire to monitor the performance of PHP application,"As a PHP developer, ‘Blackfire’ might be a name you have come across before or maybe not even heard of. For our resident PHP expert, Angel Maharjan, it was a…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
406,7 common mistakes in IT outsourcing – and tips to avoid making them,"As more and more companies seek to reduce operational costs in areas such as managing enterprise applications and software development, the IT outsourcing sector is experiencing a period of sustained…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
407,EU-Startups Summit,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
408,Scaling Startups In The Cloud: Ways To Make That Journey,"There’s no question that IT infrastructure is heading in one direction: towards the Cloud. For established, legacy businesses who are at the beginning of their digital transformation journey, moving to…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
409,SaaStr Europa,,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
410,All Onboard: Overcoming the challenges of project ownership with managed teams,"Whatever sort of software you’re developing, when you look to a solution like a ‘development team as a service’ to scale and expedite your coding, you might be forgiven for…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
411,Proshore Bootcamp: A free program for early-stage IT professionals in Nepal,Proshore Bootcamp was born out of love for two things: IT and Nepal. As part of Proshore’s social mission to create better job opportunities for aspiring IT professionals working in…,readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
412,From micromanaging to self-managing remote software development,"How does remote software development really work? If your business is thinking about investing in software development beyond your existing in-house capacity, then reliability, expertise, and team integration are key…",readtime,Jeroen van der Horst,Account director,https://proshore.eu/wp-content/uploads/2021/07/DSC_5580-706x536.jpeg
